feature,importance
vital48h_cardiac_output_std,0.00285469
labs7d_albumin_count_missing,0.002843774
emb_127,0.0028147297
emb_297,0.002804105
fluid6h_output_urine_count,0.0027911342
emb_142,0.0027827113
labs7d_bun_last_missing,0.0027825707
labs7d_lactate_last_missing,0.002778787
emb_62,0.0027574159
emb_80,0.0027461108
emb_227,0.0027362078
vital48h_pap_sbp_count,0.0027354166
vital48h_spo2_last,0.0027350455
emb_364,0.002718003
emb_304,0.0027094758
emb_64,0.0027070595
vital48h_temperature_std_missing,0.0026790116
labs7d_potassium_last_missing,0.0026787084
emb_139,0.0026711107
emb_373,0.0026636722
labs7d_bicarbonate_std,0.0026470146
vital48h_cardiac_output_max,0.0026358115
labs7d_albumin_count,0.0026295527
vital48h_dbp_mean,0.0026241138
labs7d_hgb_count_missing,0.0026127568
emb_41,0.0026052585
emb_366,0.0025862467
vital48h_pap_sbp_min,0.0025265429
emb_48,0.0025185584
vital48h_pap_sbp_max,0.0025152448
labs7d_plt_min_missing,0.0025083823
emb_264,0.00248705
labs7d_albumin_max_missing,0.0024451476
fluid48h_input_total_ml,0.0024391047
vital48h_spo2_min,0.0024159213
labs7d_ph_max_missing,0.0024106891
vital48h_heart_rate_std,0.0024054756
labs7d_plt_last_missing,0.0023827516
vital48h_heart_rate_std_missing,0.0023666772
emb_313,0.0023558899
emb_324,0.0023406497
labs7d_creatinine_max,0.002317109
vital48h_spo2_mean,0.002312179
emb_25,0.0023080634
emb_126,0.0023077494
vital48h_heart_rate_count_missing,0.0022753524
emb_282,0.0022572745
vital48h_tidal_volume_mean,0.0022342592
cmb_cerebrovasc,0.002233457
vital48h_mbp_mean,0.0021937073
vital48h_cvp_max,0.0021515116
emb_212,0.0021453935
fluid48h_output_urine_total_ml,0.0020671804
emb_381,0.002046329
vital48h_heart_rate_min,0.0020409646
vital48h_gcs_std,0.0020233404
emb_89,0.0019965214
vital48h_sbp_value_mean,0.0019934676
vital48h_cardiac_output_mean,0.0019476953
vital48h_pap_dbp_min,0.001945125
vital48h_pap_dbp_last,0.0019317062
vital48h_heart_rate_last,0.0019192105
labs7d_wbc_mean,0.0018853273
emb_214,0.0018468978
labs7d_potassium_mean,0.0018061198
fluid6h_net_ml,0.0017994478
vital48h_mbp_value_mean,0.0017573532
fluid6h_output_urine_rate_ml_per_hr,0.0017006674
vital48h_heart_rate_mean,0.001660231
vital48h_resp_rate_mean,0.0016587413
vital48h_heart_rate_min_missing,0.0016498199
vital48h_pap_mbp_mean,0.001546768
vital48h_heart_rate_max_missing,0.0014725771
vital48h_temperature_min_missing,0.0014187401
vital48h_mbp_max,0.0014158529
vital48h_resp_rate_count,0.001400119
vital48h_resp_rate_min,0.0013891077
vital48h_spo2_last_missing,0.0013418013
vital48h_gcs_min,0.0013214791
vital48h_heart_rate_last_missing,0.0013192021
vital48h_spo2_mean_missing,0.0013092646
labs7d_potassium_last,0.00126986
fluid48h_input_total_ml_missing,0.0012474325
vital48h_gcs_last,0.0012339737
vital48h_spo2_value_mean_missing,0.0012323842
vital48h_heart_rate_mean_missing,0.0012278758
vital48h_mbp_last,0.0012225785
vital48h_gcs_last_missing,0.0012100482
fluid6h_input_count,0.0011997941
vital48h_temperature_max_missing,0.0011940815
fluid48h_output_urine_count,0.0011900043
vital48h_heart_rate_count,0.0011827656
vital48h_spo2_max_missing,0.001179314
vital48h_temperature_mean_missing,0.0011589042
fluid6h_input_count_missing,0.0011555577
vital48h_temperature_value_mean_missing,0.0011309901
vital48h_temperature_last_missing,0.0010915592
vital48h_spo2_std_missing,0.0010785352
vital48h_mbp_min,0.0010712971
vital48h_tidal_volume_std_missing,0.0010663996
vital48h_gcs_std_missing,0.0010567799
labs7d_lactate_std,0.0010471273
fluid48h_input_count_missing,0.0009939685
vital48h_spo2_count_missing,0.0009803682
vital48h_resp_rate_count_missing,0.0009759938
fluid6h_output_urine_total_ml_missing,0.0009673188
fluid48h_net_ml_missing,0.0009286955
vital48h_gcs_count_missing,0.0009029451
vital48h_gcs_max_missing,0.0008922145
vital48h_resp_rate_max_missing,0.0008885026
vital48h_resp_rate_last_missing,0.0008869933
