feature,importance
emb_197,0.0008440978
emb_266,0.00084366754
emb_248,0.0008415377
vital48h_heart_rate_min_missing,0.00084013323
vital48h_gcs_count_missing,0.0008390883
vital48h_minute_ventilation_mean,0.00083682867
emb_64,0.000835253
hx30d_diuretics_any,0.00083422364
vital48h_sbp_value_mean,0.00083143933
vital48h_sbp_min_missing,0.0008273
emb_5,0.0008186347
emb_0,0.0008170773
vital48h_pap_mbp_min,0.0008169102
vital48h_pap_mbp_max_missing,0.00080786995
labs7d_sodium_min_missing,0.0008063342
emb_330,0.0008053917
emb_42,0.0008043346
vital48h_dbp_std_missing,0.0008040095
labs7d_plt_max_missing,0.00079880585
emb_204,0.00079822616
emb_127,0.000797612
emb_30,0.0007968606
hx31to180d_nsaids_any,0.00079614465
vital48h_spo2_last_missing,0.0007960096
emb_62,0.0007959267
labs7d_bun_count_missing,0.0007956873
emb_51,0.0007941422
labs7d_wbc_last_missing,0.0007924211
emb_332,0.00079163944
labs7d_lactate_count_missing,0.000784313
emb_250,0.0007841641
emb_308,0.0007819924
labs7d_creatinine_std,0.00077554054
labs7d_bicarbonate_max_missing,0.00077095185
emb_310,0.0007704076
emb_218,0.00076614827
labs7d_ph_std_missing,0.00076010125
vital48h_cvp_std_missing,0.0007592745
vital48h_minute_ventilation_last_missing,0.0007545438
emb_255,0.0007541972
labs7d_bun_last_missing,0.0007512392
emb_58,0.00074596016
emb_120,0.0007429697
emb_344,0.000742944
labs7d_bun_min_missing,0.0007398402
fluid6h_output_urine_total_ml_missing,0.0007377313
emb_104,0.0007374834
labs7d_ph_count_missing,0.00072507566
labs7d_sodium_mean_missing,0.0007184658
emb_312,0.00071423466
labs7d_hgb_std_missing,0.00071411225
labs7d_potassium_max_missing,0.0007135974
vital48h_temperature_value_mean_missing,0.0007121158
fluid48h_input_total_ml,0.00071145565
emb_190,0.00070956664
emb_208,0.0007086609
vital48h_gcs_last,0.0007055042
labs7d_sodium_last_missing,0.0007051706
vital48h_cardiac_output_last_missing,0.0007050051
labs7d_lactate_last_missing,0.00070444844
labs7d_sodium_max_missing,0.00069801614
emb_57,0.0006954287
emb_290,0.0006950059
emb_355,0.0006828846
vital48h_heart_rate_count_missing,0.00068123767
emb_231,0.00068106083
cmb_cerebrovasc,0.00067907927
emb_195,0.0006777927
emb_44,0.00067547016
emb_33,0.00066817744
vital48h_sbp_mean_missing,0.0006577017
emb_91,0.0006550474
emb_264,0.0006536293
labs7d_sodium_std_missing,0.00064669334
vital48h_sbp_max_missing,0.0006465432
emb_283,0.0006454526
fluid6h_output_urine_count,0.0006442861
fluid6h_net_ml,0.0006423268
